scenario_id,checker,passed,confidence,reason
WD-10,C2,True,0.5,No locations in scenario to verify against
WD-10,C3,False,0.5777779817581177,Unknown mechanism (best match: mirage_depth_distortion at 0.42)
WD-10,C4,True,1.0,No spurious correlations detected
WD-10,C5,True,0.533,Coverage: 66.7% (2/3)
WD-10a,C1,True,1.0,All temporal relationships valid
WD-10a,C2,True,0.5,No locations in scenario to verify against
WD-10a,C3,False,0.5939428210258484,Unknown mechanism (best match: blind_spot_encroachment at 0.41)
WD-10a,C4,True,1.0,No spurious correlations detected
WD-10a,C5,True,0.533,Coverage: 66.7% (2/3)
WD-10b,C1,True,1.0,All temporal relationships valid
WD-10b,C2,True,0.5,No locations in scenario to verify against
WD-10b,C3,False,0.5912650525569916,Unknown mechanism (best match: mirage_depth_distortion at 0.41)
WD-10b,C4,True,1.0,No spurious correlations detected
WD-10b,C5,True,0.533,Coverage: 66.7% (2/3)
PE-06,C1,True,1.0,All temporal relationships valid
PE-06,C2,True,0.5,No locations in scenario to verify against
PE-06,C3,False,0.6318188309669495,Unknown mechanism (best match: crowd_turbulence_bottleneck at 0.37)
PE-06,C4,True,1.0,No spurious correlations detected
PE-06,C5,True,1.0,Coverage: 100.0% (3/3)
PE-06a,C1,True,1.0,All temporal relationships valid
PE-06a,C2,True,0.5,No locations in scenario to verify against
PE-06a,C3,False,0.6191295981407166,Unknown mechanism (best match: crowd_turbulence_bottleneck at 0.38)
PE-06a,C4,True,1.0,No spurious correlations detected
PE-06a,C5,True,1.0,Coverage: 100.0% (3/3)
PE-06b,C1,True,1.0,All temporal relationships valid
PE-06b,C2,True,0.5,No locations in scenario to verify against
PE-06b,C3,False,0.6630055904388428,Unknown mechanism (best match: crowd_turbulence_bottleneck at 0.34)
PE-06b,C4,True,1.0,No spurious correlations detected
PE-06b,C5,True,1.0,Coverage: 100.0% (3/3)
WD-07,C1,True,1.0,All temporal relationships valid
WD-07,C2,True,0.5,No locations in scenario to verify against
WD-07,C3,False,0.7035718560218811,Unknown mechanism (best match: crosswind_rollover at 0.30)
WD-07,C4,True,1.0,No spurious correlations detected
WD-07,C5,True,0.533,Coverage: 66.7% (2/3)
WD-07a,C1,True,1.0,All temporal relationships valid
WD-07a,C2,True,0.5,No locations in scenario to verify against
WD-07a,C3,False,0.7035647332668304,Unknown mechanism (best match: crosswind_rollover at 0.30)
WD-07a,C4,True,1.0,No spurious correlations detected
WD-07a,C5,True,0.533,Coverage: 66.7% (2/3)
